ts,state,x,y,heading,cmd,speed,duration_ms,detections
2025-09-10T09:56:53.421406,SEARCH,0.0,0.0,0.0,forward,0.25,3333,0
2025-09-10T09:56:57.226103,SEARCH,0.0,1.0,0.0,forward,0.25,3333,0
2025-09-10T09:57:00.592378,SEARCH,0.0,2.0,0.0,forward,0.25,3333,0
2025-09-10T09:57:03.962793,SEARCH,0.0,3.0,0.0,forward,0.25,3333,0
2025-09-10T09:57:07.336489,SEARCH,0.0,4.0,0.0,forward,0.25,3333,0
2025-09-10T09:57:10.703388,SEARCH,0.0,5.0,0.0,forward,0.25,3333,0
2025-09-10T09:57:12.240406,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T09:57:13.918134,SEARCH,0.0,6.0,0.0,forward,0.25,1666,0
2025-09-10T09:57:15.425063,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T09:57:18.770606,SEARCH,-0.5,6.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T09:57:22.139947,SEARCH,-0.4999999999999999,5.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T09:57:25.509376,SEARCH,-0.4999999999999998,4.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T09:57:28.866560,SEARCH,-0.49999999999999967,3.0,3.141592653589793,forward,0.25,3333,0
