ts,state,x,y,heading,cmd,speed,duration_ms,detections
2025-09-10T10:02:55.442878,SEARCH,0.0,0.0,0.0,forward,0.25,3333,0
2025-09-10T10:02:59.284063,SEARCH,0.0,1.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:02.735145,SEARCH,0.0,2.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:06.194757,SEARCH,0.0,3.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:09.658945,SEARCH,0.0,4.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:13.115989,SEARCH,0.0,5.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:14.675716,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T10:03:16.438012,SEARCH,0.0,6.0,0.0,forward,0.25,1666,0
2025-09-10T10:03:17.986850,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T10:03:21.404492,SEARCH,-0.5,6.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:24.852489,SEARCH,-0.4999999999999999,5.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:28.305381,SEARCH,-0.4999999999999998,4.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:31.755978,SEARCH,-0.49999999999999967,3.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:35.207208,SEARCH,-0.49999999999999956,2.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:38.648249,SEARCH,-0.49999999999999944,1.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:03:40.218706,SEARCH,-0.49999999999999933,0.0,3.141592653589793,turn_right,0.25,1500,0
2025-09-10T10:03:41.988996,SEARCH,-0.49999999999999933,0.0,3.141592653589793,forward,0.25,1666,0
2025-09-10T10:03:43.540338,SEARCH,-0.49999999999999933,0.0,3.141592653589793,turn_right,0.25,1500,0
2025-09-10T10:03:46.955049,SEARCH,6.661338147750939e-16,3.061616997868383e-17,0.0,forward,0.25,3333,0
2025-09-10T10:03:50.423146,SEARCH,6.661338147750939e-16,1.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:53.875469,SEARCH,6.661338147750939e-16,2.0,0.0,forward,0.25,3333,0
2025-09-10T10:03:57.330901,SEARCH,6.661338147750939e-16,3.0,0.0,forward,0.25,3333,0
2025-09-10T10:04:00.793426,SEARCH,6.661338147750939e-16,4.0,0.0,forward,0.25,3333,0
2025-09-10T10:04:04.252195,SEARCH,6.661338147750939e-16,5.0,0.0,forward,0.25,3333,0
