ts,num_detections,latency_ms
2025-09-10T09:55:33.597502,0,274
2025-09-10T09:55:33.813087,0,17
2025-09-10T09:55:33.883634,0,14
2025-09-10T09:55:33.952419,0,14
2025-09-10T09:55:34.021486,0,13
2025-09-10T09:55:34.090531,0,15
2025-09-10T09:55:34.159055,0,15
2025-09-10T09:55:34.226122,0,13
2025-09-10T09:55:34.292159,0,12
2025-09-10T09:55:34.357698,0,12
2025-09-10T09:55:34.423259,0,12
2025-09-10T09:55:34.507313,0,14
2025-09-10T09:55:34.575889,0,14
2025-09-10T09:55:34.644957,0,15
2025-09-10T09:55:34.717742,0,17
2025-09-10T09:55:34.793818,0,22
2025-09-10T09:55:34.861021,0,13
2025-09-10T09:55:34.932992,0,14
2025-09-10T09:55:35.002154,0,15
2025-09-10T09:55:35.079921,0,24
2025-09-10T09:55:35.154012,0,19
2025-09-10T09:55:35.232052,0,23
2025-09-10T09:55:35.316334,0,28
2025-09-10T09:55:35.395520,0,21
2025-09-10T09:55:35.465165,0,14
2025-09-10T09:55:35.537143,0,19
2025-09-10T09:55:35.608597,0,17
2025-09-10T09:55:35.680556,0,18
2025-09-10T09:55:35.754925,0,19
2025-09-10T09:55:35.826587,0,16
2025-09-10T09:55:35.897068,0,15
2025-09-10T09:55:35.970769,0,19
2025-09-10T09:55:36.040474,0,14
2025-09-10T09:55:36.115535,0,22
2025-09-10T09:55:36.188313,0,17
2025-09-10T09:55:36.259384,0,17
2025-09-10T09:55:36.329933,0,16
2025-09-10T09:55:36.402493,0,19
2025-09-10T09:55:36.477470,0,18
2025-09-10T09:55:36.551059,0,18
2025-09-10T09:55:36.623509,0,18
2025-09-10T09:55:36.697422,0,19
2025-09-10T09:55:36.769183,0,17
2025-09-10T09:55:36.837148,0,12
2025-09-10T09:55:36.911158,0,19
2025-09-10T09:55:36.988568,0,22
2025-09-10T09:55:37.067062,0,23
2025-09-10T09:55:37.140264,0,19
2025-09-10T09:55:37.218491,0,24
2025-09-10T09:55:37.304700,0,31
2025-09-10T09:55:37.385705,0,23
2025-09-10T09:55:37.464002,0,22
2025-09-10T09:55:37.542550,0,23
2025-09-10T09:55:37.614584,0,17
2025-09-10T09:55:37.688723,0,20
2025-09-10T09:55:37.759077,0,17
2025-09-10T09:55:37.833346,0,18
2025-09-10T09:55:37.908321,0,19
2025-09-10T09:55:37.985118,0,21
2025-09-10T09:55:38.060658,0,21
2025-09-10T09:55:38.136205,0,22
2025-09-10T09:55:38.216475,0,22
2025-09-10T09:55:38.300344,0,29
2025-09-10T09:55:38.380761,0,25
2025-09-10T09:55:38.458848,0,22
2025-09-10T09:55:38.534021,0,19
2025-09-10T09:55:38.612401,0,24
2025-09-10T09:55:38.684744,0,17
2025-09-10T09:55:38.763239,0,24
2025-09-10T09:55:38.842835,0,24
2025-09-10T09:55:38.917300,0,17
2025-09-10T09:55:38.991501,0,20
2025-09-10T09:55:39.065725,0,20
2025-09-10T09:55:39.143440,0,23
2025-09-10T09:55:39.215719,0,15
2025-09-10T09:55:39.292100,0,18
2025-09-10T09:55:39.362368,0,16
2025-09-10T09:55:39.438621,0,22
2025-09-10T09:55:39.517125,0,23
2025-09-10T09:55:39.592908,0,20
2025-09-10T09:55:39.674293,0,26
2025-09-10T09:55:39.755512,0,25
2025-09-10T09:55:39.837338,0,26
2025-09-10T09:55:39.914083,0,20
2025-09-10T09:55:39.988938,0,19
2025-09-10T09:55:40.062208,0,19
2025-09-10T09:55:40.139140,0,22
