ts,state,x,y,heading,cmd,speed,duration_ms,detections
2025-09-10T10:00:12.114139,SEARCH,0.0,0.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:15.818373,SEARCH,0.0,1.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:19.194978,SEARCH,0.0,2.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:22.561729,SEARCH,0.0,3.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:25.930743,SEARCH,0.0,4.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:29.293763,SEARCH,0.0,5.0,0.0,forward,0.25,3333,0
2025-09-10T10:00:30.828175,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T10:00:32.507051,SEARCH,0.0,6.0,0.0,forward,0.25,1666,0
2025-09-10T10:00:34.016194,SEARCH,0.0,6.0,0.0,turn_right,0.25,1500,0
2025-09-10T10:00:37.357414,SEARCH,-0.5,6.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:00:40.737873,SEARCH,-0.4999999999999999,5.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:00:44.119801,SEARCH,-0.4999999999999998,4.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:00:47.493828,SEARCH,-0.49999999999999967,3.0,3.141592653589793,forward,0.25,3333,0
2025-09-10T10:00:50.860318,SEARCH,-0.49999999999999956,2.0,3.141592653589793,forward,0.25,3333,0
